label,value
summary_8th_grade_pre_se,0.018757203559736174
summary_8th_grade_ycls_estimate,0.037241373820819816
summary_8th_grade_ycls_se,0.019255170972183343
summary_approve_nukes_90_45_pre_estimate,0.5434818161642736
summary_approve_nukes_90_45_pre_se,0.05121746731632977
summary_approve_nukes_90_45_ycls_estimate,-0.0903480459918592
summary_approve_nukes_90_45_ycls_se,0.06483460326332702
summary_approve_nukes_90_70_pre_estimate,0.29807905708463106
summary_approve_nukes_90_70_pre_se,0.05350705820405024
summary_approve_nukes_90_70_ycls_estimate,-0.07728653983157353
summary_approve_nukes_90_70_ycls_se,0.0643664305412146
summary_approve_strike_nuclear_pre_estimate,0.22573777430116937
summary_approve_strike_nuclear_pre_se,0.055308619894859114
summary_approve_strike_nuclear_ycls_estimate,0.13456883777754913
summary_approve_strike_nuclear_ycls_se,0.06422102551910203
summary_broken_english_pre_estimate,0.06531039280244937
summary_broken_english_pre_se,0.014187571559594069
summary_broken_english_ycls_estimate,0.0431412105287168
summary_broken_english_ycls_se,0.01344463327323153
summary_cheap_v_expensive_framing_pre_estimate,0.3530271100505353
summary_cheap_v_expensive_framing_pre_se,0.030379793996488547
summary_cheap_v_expensive_framing_ycls_estimate,0.2228968094887381
summary_cheap_v_expensive_framing_ycls_se,0.06175971090846977
summary_child_care_provider_pre_estimate,0.01917269504121813
summary_child_care_provider_pre_se,0.020094285840215626
summary_child_care_provider_ycls_estimate,0.013100240500062848
summary_child_care_provider_ycls_se,0.02068756702929614
summary_china_pre_estimate,0.051913557308105325
summary_china_pre_se,0.02292797039159906
summary_china_ycls_estimate,0.11642585795518212
summary_china_ycls_se,0.022690300991588377
summary_college_degree_pre_estimate,0.1866503663954584
summary_college_degree_pre_se,0.020057365605426297
summary_college_degree_ycls_estimate,0.12444334051902811
summary_college_degree_ycls_se,0.01833974715496898
summary_computer_programmer_pre_estimate,0.06305380898415201
summary_computer_programmer_pre_se,0.03233755339770716
summary_computer_programmer_ycls_estimate,0.0851118894258172
summary_computer_programmer_ycls_se,0.0252300174488064
summary_construction_worker_pre_estimate,0.052540567790817484
summary_construction_worker_pre_se,0.020843523019699665
summary_construction_worker_ycls_estimate,0.018063878429965395
summary_construction_worker_ycls_se,0.019908517436051487
summary_d_c_pizzagate_pre_estimate,0.4752932939840858
summary_d_c_pizzagate_pre_se,0.0740105136034648
summary_d_c_pizzagate_ycls_estimate,0.38441572944493846
summary_d_c_pizzagate_ycls_se,0.10353161933302549
summary_democrats_program_pre_estimate,0.4530041401034528
summary_democrats_program_pre_se,0.15958817768686787
summary_democrats_program_ycls_estimate,0.20380626786830552
