study_group_detail,study,estimate,std.error,study_group,conf.low,conf.high,statistic,p.value
Broken English,Pre-COVID summary,0.06531039280244937,0.014187571559594069,Hainmueller & Hopkins (2015),0.03750275254564499,0.09311803305925374,4.6033524855269885,4.157437009988385e-6
Broken English,YCLS summary,0.0431412105287168,0.01344463327323153,Hainmueller & Hopkins (2015),0.016789729313183,0.0694926917442506,3.208805301860602,0.0013328771659926186
Tried English but unable,Pre-COVID summary,0.13229355164270037,0.014142400172647692,Hainmueller & Hopkins (2015),0.1045744473043109,0.16001265598108985,9.354391760075108,0
Tried English but unable,YCLS summary,0.08669932948971636,0.013805485011060773,Hainmueller & Hopkins (2015),0.05964057886803724,0.11375808011139547,6.280064005013514,3.3843372548858497e-10
Used interpreter,Pre-COVID summary,0.16317423179870336,0.014147821463653293,Hainmueller & Hopkins (2015),0.1354445017299429,0.1909039618674638,11.533523533493051,0
Used interpreter,YCLS summary,0.08779673627216716,0.0134048550059147,Hainmueller & Hopkins (2015),0.06152322046057435,0.11407025208375998,6.54962222518842,5.768274746742463e-11
France,Pre-COVID summary,0.01232497469174791,0.021900818233181935,Hainmueller & Hopkins (2015),-0.03060062904528868,0.0552505784287845,0.5627632064026876,0.5735961377628609
France,YCLS summary,0.024072345304991288,0.023833375287804784,Hainmueller & Hopkins (2015),-0.022641070259106087,0.07078576086908867,1.0100266963575564,0.3124824999314275
Mexico,Pre-COVID summary,0.018963113771450667,0.021844957865788026,Hainmueller & Hopkins (2015),-0.02385300364549386,0.06177923118839519,0.8680773791351325,0.38535197367232943
Mexico,YCLS summary,0.018755038512735727,0.02392026761807172,Hainmueller & Hopkins (2015),-0.028128686018684842,0.06563876304415629,0.7840647442659182,0.43300212116395853
Philippines,Pre-COVID summary,0.004544190954881277,0.023878844794351473,Hainmueller & Hopkins (2015),-0.04225834484204761,0.05134672675181016,0.1903019594966421,0.8490725182538865
Philippines,YCLS summary,0.025153638458533047,0.023920125458512995,Hainmueller & Hopkins (2015),-0.021729807440152422,0.07203708435721852,1.051567998761522,0.29299779635000234
Poland,Pre-COVID summary,0.02042884747397054,0.02130157788352134,Hainmueller & Hopkins (2015),-0.021322245177731288,0.062179940125672364,0.9590297763704192,0.33754374490569283
Poland,YCLS summary,0.015847577435620493,0.023494465073976845,Hainmueller & Hopkins (2015),-0.030201574109374123,0.06189672898061511,0.6745238670351228,0.4999783171851191
India,Pre-COVID summary,0.040620391285319746,0.02115037331605308,Hainmueller & Hopkins (2015),-8.343404141442912e-4,0.08207512298478378,1.9205519769473276,0.0547882144116969
India,YCLS summary,0.06446278651787243,0.02348651932279122,Hainmueller & Hopkins (2015),0.018429208645201638,0.11049636439054322,2.7446717681712,0.0060571446636819015
China,Pre-COVID summary,0.051913557308105325,0.02292797039159906,Hainmueller & Hopkins (2015),0.006974735340571164,0.09685237927563949,2.2642020388828987,0.023561691249712302
China,YCLS summary,0.11642585795518212,0.022690300991588377,Hainmueller & Hopkins (2015),0.0719528680116689,0.16089884789869535,5.131084774871116,2.8807711993650287e-7
Sudan,Pre-COVID summary,0.058325917767414595,0.02360356876798313,Hainmueller & Hopkins (2015),0.012062922982167663,0.10458891255266153,2.471063521823459,0.013471188765193931
Sudan,YCLS summary,0.07279124004444044,0.023174301940271064,Hainmueller & Hopkins (2015),0.027369608241509163,0.11821287184737173,3.14103269354352,0.0016835323789479162
Somalia,Pre-COVID summary,0.07852950679104789,0.02299691146147199,Hainmueller & Hopkins (2015),0.03345556032656279,0.12360345325553299,3.4147849341687797,6.383239071248159e-4
Somalia,YCLS summary,0.07282147200436401,0.02294209983247236,Hainmueller & Hopkins (2015),0.027854956332718186,0.11778798767600983,3.174141536133155,0.0015028038999505
Iraq,Pre-COVID summary,0.14277054949759127,0.02366949617482937,Hainmueller & Hopkins (2015),0.0963783369949257,0.18916276200025683,6.031837283018149,1.6210597308941033e-9
